Mês/Ano;Região;Estado;Capacidade Produção Etanol Anidro (m³/d);Capacidade Produção Etanol Hidratado (m³/d)
abr/24;CENTRO OESTE;Mato Grosso;0;50
abr/24;CENTRO OESTE;Mato Grosso;600;600
abr/24;SUDESTE;São Paulo;517;900
abr/24;CENTRO OESTE;Goiás;450;650
abr/24;NORDESTE;Bahia;200;240
abr/24;SUDESTE;Minas Gerais;0;35
abr/24;SUDESTE;Minas Gerais;220;450
abr/24;CENTRO OESTE;Goiás;120;330
abr/24;NORDESTE;Maranhão;200;420
abr/24;NORDESTE;Rio Grande do Norte;360;460
abr/24;CENTRO OESTE;Goiás;500;980
abr/24;CENTRO OESTE;Goiás;180;350
abr/24;CENTRO OESTE;Goiás;130;200
abr/24;CENTRO OESTE;Goiás;800;860
abr/24;CENTRO OESTE;Goiás;0;900
abr/24;CENTRO OESTE;Goiás;280;340
abr/24;CENTRO OESTE;Goiás;0;350
abr/24;CENTRO OESTE;Goiás;300;800
abr/24;CENTRO OESTE;Goiás;150;450
abr/24;CENTRO OESTE;Goiás;850;1280
abr/24;CENTRO OESTE;Goiás;150;500
abr/24;NORDESTE;Sergipe;0;68
abr/24;SUL;Paraná;300;600
abr/24;CENTRO OESTE;Goiás;260;800
abr/24;CENTRO OESTE;Goiás;0;500
abr/24;SUDESTE;São Paulo;700;1300
abr/24;NORDESTE;Pernambuco;300;600
abr/24;CENTRO OESTE;Goiás;150;440
abr/24;SUDESTE;Minas Gerais;400;650
abr/24;CENTRO OESTE;Mato Grosso;470;470
abr/24;CENTRO OESTE;Mato Grosso;0;500
abr/24;SUDESTE;São Paulo;820;900
abr/24;SUDESTE;São Paulo;120;350
abr/24;NORDESTE;Bahia;360;500
abr/24;SUDESTE;São Paulo;160;480
abr/24;SUDESTE;São Paulo;1000;820
abr/24;NORDESTE;Alagoas;180;240
abr/24;SUDESTE;São Paulo;325;880
abr/24;NORDESTE;Piauí;260;360
abr/24;NORTE;Pará;260;340
abr/24;SUDESTE;Rio de Janeiro;0;250
abr/24;SUDESTE;São Paulo;500;500
abr/24;CENTRO OESTE;Mato Grosso do Sul;750;1700
abr/24;SUDESTE;Rio de Janeiro;0;600
abr/24;CENTRO OESTE;Goiás;140;500
abr/24;NORTE;Amazonas;0;250
abr/24;SUDESTE;São Paulo;1100;1200
abr/24;SUDESTE;São Paulo;500;1070
abr/24;SUDESTE;Minas Gerais;700;1200
abr/24;SUDESTE;Minas Gerais;0;600
abr/24;SUDESTE;São Paulo;0;190
abr/24;SUDESTE;Minas Gerais;0;450
abr/24;NORDESTE;Maranhão;370;400
abr/24;SUDESTE;São Paulo;0;780
abr/24;NORDESTE;Paraíba;330;345
abr/24;SUDESTE;São Paulo;600;1400
abr/24;SUDESTE;São Paulo;630;1220
abr/24;SUDESTE;São Paulo;500;500
abr/24;SUDESTE;São Paulo;750;1200
abr/24;NORDESTE;Sergipe;0;150
abr/24;NORDESTE;Maranhão;220;300
abr/24;CENTRO OESTE;Goiás;0;400
abr/24;SUDESTE;São Paulo;700;950
abr/24;SUDESTE;São Paulo;350;700
abr/24;SUDESTE;São Paulo;0;450
abr/24;SUDESTE;São Paulo;0;1400
abr/24;CENTRO OESTE;Goiás;600;2000
abr/24;SUDESTE;São Paulo;0;500
abr/24;NORDESTE;Sergipe;500;600
abr/24;SUDESTE;Minas Gerais;440;500
abr/24;SUDESTE;São Paulo;0;300
abr/24;SUDESTE;Minas Gerais;700;700
abr/24;NORDESTE;Sergipe;0;200
abr/24;NORTE;Acre;0;140
abr/24;CENTRO OESTE;Mato Grosso;200;470
abr/24;SUDESTE;Minas Gerais;1000;1700
abr/24;SUDESTE;São Paulo;28;85
abr/24;SUDESTE;São Paulo;0;60
abr/24;CENTRO OESTE;Mato Grosso do Sul;0;450
abr/24;CENTRO OESTE;Mato Grosso do Sul;650;2100
abr/24;CENTRO OESTE;Mato Grosso do Sul;1200;1500
abr/24;CENTRO OESTE;Mato Grosso do Sul;600;1900
abr/24;CENTRO OESTE;Mato Grosso do Sul;0;480
abr/24;SUDESTE;Minas Gerais;0;1100
abr/24;CENTRO OESTE;Goiás;200;400
abr/24;SUDESTE;São Paulo;150;400
abr/24;SUDESTE;Minas Gerais;0;1200
abr/24;CENTRO OESTE;Goiás;0;500
abr/24;CENTRO OESTE;Goiás;0;1200
abr/24;CENTRO OESTE;Goiás;550;880
abr/24;SUDESTE;Minas Gerais;400;600
