Mês/Ano;Região;Estado;Produção Etanol Hidratado(m³);Produção Etanol Anidro (m³)
abr/24;CENTRO OESTE;Goiás;206405;48314
abr/24;CENTRO OESTE;Mato Grosso;315300;107082
abr/24;CENTRO OESTE;Mato Grosso do Sul;257617;48233
abr/24;NORDESTE;Alagoas;5676;19
abr/24;NORDESTE;Bahia;9474;777
abr/24;NORDESTE;Paraíba;10756;1242
abr/24;NORDESTE;Pernambuco;11924;2265
abr/24;NORTE;Tocantins;12582;
abr/24;SUDESTE;Espírito Santo;648;
abr/24;SUDESTE;Minas Gerais;173781;49860
abr/24;SUDESTE;São Paulo;699831;301080
abr/24;SUL;Paraná;70757;51333
mar/24;CENTRO OESTE;Goiás;54062;4492
mar/24;CENTRO OESTE;Mato Grosso;316941;95326
mar/24;CENTRO OESTE;Mato Grosso do Sul;137632;49836
mar/24;NORDESTE;Alagoas;21935;21226
mar/24;NORDESTE;Paraíba;7392;10068
mar/24;NORDESTE;Pernambuco;21109;3936
mar/24;NORDESTE;Rio Grande do Norte;4915;
mar/24;NORDESTE;Sergipe;5137;845
mar/24;SUDESTE;Minas Gerais;12874;1042
mar/24;SUDESTE;São Paulo;112962;56682
mar/24;SUL;Paraná;33056;4948
mar/24;SUL;Rio Grande do Sul;1;
fev/24;CENTRO OESTE;Goiás;45047;15866
fev/24;CENTRO OESTE;Mato Grosso;269709;117749
fev/24;CENTRO OESTE;Mato Grosso do Sul;70727;48473
fev/24;NORDESTE;Alagoas;31256;31904
fev/24;NORDESTE;Paraíba;8493;12682
fev/24;NORDESTE;Pernambuco;22574;9475
fev/24;NORDESTE;Rio Grande do Norte;14035;607
fev/24;NORDESTE;Sergipe;6825;2851
fev/24;SUDESTE;Minas Gerais;934;
fev/24;SUDESTE;São Paulo;17071;14556
fev/24;SUL;Rio Grande do Sul;1;
jan/24;CENTRO OESTE;Goiás;55299;13162
jan/24;CENTRO OESTE;Mato Grosso;261626;146624
jan/24;CENTRO OESTE;Mato Grosso do Sul;62710;65062
jan/24;NORDESTE;Alagoas;43514;34782
jan/24;NORDESTE;Paraíba;16255;29393
jan/24;NORDESTE;Pernambuco;18586;18982
jan/24;NORDESTE;Rio Grande do Norte;13236;2387
jan/24;NORDESTE;Sergipe;10769;3205
jan/24;NORTE;Pará;;3351
jan/24;SUDESTE;Minas Gerais;1325;
jan/24;SUDESTE;São Paulo;22099;27019
jan/24;SUL;Paraná;100;3840
jan/24;SUL;Rio Grande do Sul;1;
dez/23;CENTRO OESTE;Goiás;141094;44240
dez/23;CENTRO OESTE;Mato Grosso;330355;81197
dez/23;CENTRO OESTE;Mato Grosso do Sul;134471;81209
dez/23;NORDESTE;Alagoas;40226;40032
dez/23;NORDESTE;Bahia;5990;2440
dez/23;NORDESTE;Paraíba;26393;27642
dez/23;NORDESTE;Pernambuco;24624;22868
dez/23;NORDESTE;Rio Grande do Norte;13113;5709
dez/23;NORDESTE;Sergipe;9909;3698
dez/23;NORTE;Pará;;6776
dez/23;SUDESTE;Espírito Santo;3;2437
dez/23;SUDESTE;Minas Gerais;63976;23715
dez/23;SUDESTE;São Paulo;426861;223407
dez/23;SUL;Paraná;24713;13047
dez/23;SUL;Rio Grande do Sul;1;
nov/23;CENTRO OESTE;Goiás;306873;96747
nov/23;CENTRO OESTE;Mato Grosso;305546;123933
nov/23;CENTRO OESTE;Mato Grosso do Sul;220769;93924
nov/23;NORDESTE;Alagoas;41025;34078
nov/23;NORDESTE;Bahia;26851;11904
nov/23;NORDESTE;Maranhão;148;5695
nov/23;NORDESTE;Paraíba;24970;33938
nov/23;NORDESTE;Pernambuco;29254;20762
nov/23;NORDESTE;Piauí;1100;6081
